Исходный адрес,Почтовый код,Область,Район,Город,Улица,Номер дома
город Минск проспект Независимости 4,220005,—,—,город Минск,проспект Независимости,"44, 45, 47, 46, 46А, 46Б, 46В, 48, 48А, 48Б, 37, 37А, 37Б/2, 37В/1, 39, 39А, 39Б/14, 39Б/18, 39Б/3, 39Б/8, 43, 49-58, 58/1, 58/2, 58/3, 58/4, 58/5, 58/6, 58/7, 58/8, 58/9, 58/10, 58/11, 58/12, 58/13, 58/14, 58/22, 58А, 58Б, 58В, 58В/1, 60, 62, 62А"
город Минск проспект Независимости 4,220141,—,—,город Минск,проспект Независимости,"156, 164, 168/1, 168/2, 168/3, (170-174), 180, 180А, 176, 178, 182"
город Витебск улица Ленина 26/2,210009,Витебская,Витебский,город Витебск,улица Июня 26,"2, 2/53, 4, 5, 12"
город Витебск улица Ленина 26/2,210009,Витебская,Витебский,город Витебск,переулок Июня 26,"6, 6/1"
город Витебск улица Ленина 26/2,210015,Витебская,Витебский,город Витебск,улица Ленина,"8В, 17, (2-12), 6А, 8В/1, 10А/1, 12А, (16-26), 16А, 20А, 20/1, 22/16, 26А, 8А, 8Б, 10А, 10Б, 26/2, (1-5), 1/8, 1А, 3А, 3Б, 5/1, 5А, 7/8, (9-13), 9А, 14, 15А, 15/1, 15/9, 15/12, 17/1, 17/2, (19-23), 23А"
город Витебск улица Ленина 26/2,210026,Витебская,Витебский,город Витебск,улица Ленина,"69, 71, 24/1, 26А/1, 28, 28/31, 28А, 30, 33, 33А, 35, 35А, (53-65), 53А, 63А, (52-64), 52/13, 52А, 52Б, 54А, 57/4, 62/19, 64/1, 66А, 66/1, 66/2, 65А, 67, 65Б, 66, 66Б, 67А, 68, 70, 72-76, 72/1, 73/2, 73А, 80, 80/1, 82, 84, 36, 40, 43, 45, 46, 46/1, 48, 48А, 48Б, 50, 50/6, 50Б, 52А/1, 55А, 58А"
город Витебск улица Ленина 26/2,210005,Витебская,Витебский,город Витебск,улица Ленина,32
город Витебск улица Ленина 26/2,210026,Витебская,Витебский,город Витебск,площадь Ленина,84/2
город Витебск улица Ленина 26/2,225215,Брестская,Березовский,город Белоозерск,территория Дспмк-26,1
город Витебск улица Ленина 26/2,211162,Витебская,Чашникский,город Новолукомль,переулок 26 Центральный,ВСЕ
город Витебск улица Ленина 26/2,231244,Гродненская,Новогрудский,город Новогрудок,переулок 2 Ленина,ВСЕ
город Витебск улица Ленина 26/2,231463,Гродненская,Дятловский,агрогородок Гезгалы,исправительная колония 26,26
